Frame,Timestamp,Joint,Angle,Status
0,1774369921.572709,Left Arm,156,Bent
0,1774369921.5737321,Right Arm,1,Bent
0,1774369921.5737321,Left Leg,178,Extended
0,1774369921.5737321,Right Leg,179,Extended
1,1774369921.7596223,Left Arm,160,Extended
1,1774369921.7606077,Right Arm,2,Bent
1,1774369921.7606077,Left Leg,178,Extended
1,1774369921.7616072,Right Leg,178,Extended
2,1774369921.8323505,Left Arm,160,Extended
2,1774369921.8323505,Right Arm,2,Bent
2,1774369921.8333485,Left Leg,178,Extended
2,1774369921.8343532,Right Leg,178,Extended
3,1774369921.9262867,Left Arm,158,Bent
3,1774369921.9262867,Right Arm,3,Bent
3,1774369921.9277856,Left Leg,178,Extended
3,1774369921.929032,Right Leg,178,Extended
4,1774369922.017333,Left Arm,158,Bent
4,1774369922.017333,Right Arm,3,Bent
4,1774369922.018343,Left Leg,178,Extended
4,1774369922.0193326,Right Leg,178,Extended
5,1774369922.1088467,Left Arm,159,Bent
5,1774369922.1088467,Right Arm,3,Bent
5,1774369922.1088467,Left Leg,178,Extended
5,1774369922.1098511,Right Leg,178,Extended
6,1774369922.2003782,Left Arm,155,Bent
6,1774369922.2003782,Right Arm,4,Bent
6,1774369922.2003782,Left Leg,178,Extended
6,1774369922.2013834,Right Leg,177,Extended
7,1774369922.294037,Left Arm,156,Bent
7,1774369922.2950873,Right Arm,4,Bent
7,1774369922.2950873,Left Leg,179,Extended
7,1774369922.2960827,Right Leg,177,Extended
8,1774369922.383567,Left Arm,155,Bent
8,1774369922.383567,Right Arm,3,Bent
8,1774369922.384581,Left Leg,178,Extended
8,1774369922.384581,Right Leg,178,Extended
9,1774369922.456843,Left Arm,154,Bent
9,1774369922.4583738,Right Arm,3,Bent
9,1774369922.4583738,Left Leg,177,Extended
9,1774369922.4594352,Right Leg,179,Extended
10,1774369922.5343027,Left Arm,154,Bent
10,1774369922.5352964,Right Arm,4,Bent
10,1774369922.5352964,Left Leg,178,Extended
10,1774369922.5352964,Right Leg,179,Extended
11,1774369922.607547,Left Arm,157,Bent
11,1774369922.607547,Right Arm,4,Bent
11,1774369922.607547,Left Leg,177,Extended
11,1774369922.6086211,Right Leg,179,Extended
12,1774369922.6958027,Left Arm,158,Bent
12,1774369922.6958027,Right Arm,5,Bent
12,1774369922.6973143,Left Leg,177,Extended
12,1774369922.6973143,Right Leg,178,Extended
13,1774369922.782256,Left Arm,158,Bent
13,1774369922.7833903,Right Arm,5,Bent
13,1774369922.7833903,Left Leg,177,Extended
13,1774369922.7833903,Right Leg,178,Extended
14,1774369922.8609974,Left Arm,159,Bent
14,1774369922.8609974,Right Arm,4,Bent
